symbol,fundingTime,fundingRate,markPrice
POLYXUSDT,1724572800000,0.00005000,0.24032527
POPCATUSDT,1724572800000,0.00010717,0.71840000
PORTALUSDT,1724572800000,0.00005000,0.32140000
POWRUSDT,1724572800000,0.00005000,0.21020000
PYTHUSDT,1724572800000,0.00005000,0.31240075
QNTUSDT,1724572800000,0.00010000,68.21687168
QTUMUSDT,1724572800000,0.00010000,2.56600000
RADUSDT,1724572800000,0.00010000,1.14910051
RAREUSDT,1724572800000,0.00007671,0.22830000
RAYUSDT,1724572800000,0.00010000,1.80760722
RDNTUSDT,1724572800000,0.00005698,0.07338114
REEFUSDT,1724572800000,0.00010000,0.00073807
RENDERUSDT,1724572800000,0.00005000,6.16200000
RENUSDT,1724572800000,0.00002427,0.04614898
REZUSDT,1724572800000,0.00005000,0.05019959
RIFUSDT,1724572800000,0.00005000,0.08990252
RLCUSDT,1724572800000,0.00010000,1.72966489
RONINUSDT,1724572800000,0.00005000,1.74214452
ROSEUSDT,1724572800000,0.00010000,0.06428534
RSRUSDT,1724572800000,0.00009942,0.00617000
RUNEUSDT,1724572800000,0.00010000,4.26200900
RVNUSDT,1724572800000,0.00010000,0.01877000
SAGAUSDT,1724572800000,0.00005000,1.61627663
SANDUSDT,1724572800000,0.00010000,0.29074008
SCUSDT,1724572800000,0.00010000,0.00493593
SEIUSDT,1724572800000,0.00002954,0.34529584
SFPUSDT,1724572800000,0.00010000,0.78600105
SKLUSDT,1724572800000,0.00010000,0.03708114
SLPUSDT,1724572800000,0.00005000,0.00268605
SNTUSDT,1724572800000,0.00005000,0.02335484
SNXUSDT,1724572800000,0.00010000,1.57114356
SOLUSDC,1724572800000,0.00001530,156.20066307
SOLUSDT,1724572800000,0.00010000,156.09485391
SPELLUSDT,1724572800000,0.00009271,0.00058956
SSVUSDT,1724572800000,0.00010000,24.73436007
STEEMUSDT,1724572800000,0.00005000,0.18431000
STGUSDT,1724572800000,-0.00002917,0.33394011
STMXUSDT,1724572800000,0.00005000,0.00606214
STORJUSDT,1724572800000,0.00010000,0.40681885
STPTUSDT,1724572800000,0.00005000,0.04442827
STRAXUSDT,1724572800000,0.00005000,0.05114150
STRKUSDT,1724572800000,0.00005000,0.39921086
STXUSDT,1724572800000,0.00010000,1.76155078
SUIUSDC,1724572800000,0.00003801,0.96744721
SUIUSDT,1724572800000,0.00010000,0.96743876
SUNUSDT,1724572800000,-0.00080635,0.03957000
SUPERUSDT,1724572800000,0.00005000,0.73094214
SUSHIUSDT,1724572800000,0.00010000,0.64830321
SXPUSDT,1724572800000,0.00010000,0.23460000
SYNUSDT,1724572800000,0.00005000,0.56894100
SYSUSDT,1724572800000,0.00005000,0.14357991
TAOUSDT,1724572800000,0.00005000,321.59077679
THETAUSDT,1724572800000,0.00010000,1.35200325
TIAUSDC,1724572800000,0.00005000,5.68850000
TIAUSDT,1724572800000,0.00005000,5.68684990
TLMUSDT,1724572800000,0.00010000,0.01290998
TNSRUSDT,1724572800000,0.00005000,0.40418423
TOKENUSDT,1724572800000,0.00005000,0.06233000
TONUSDT,1724572800000,0.00005000,5.37250000
TRBUSDT,1724572800000,0.00005000,74.02600000
TRUUSDT,1724572800000,0.00010000,0.10207299
TRXUSDT,1724572800000,0.00010000,0.15974755
TURBOUSDT,1724572800000,0.00005000,0.00446100
TUSDT,1724572800000,-0.00036697,0.02387717
TWTUSDT,1724572800000,0.00005000,0.94357129
UMAUSDT,1724572800000,0.00005000,2.26711291
UNFIUSDT,1724572800000,0.00005000,3.24709207
UNIUSDT,1724572800000,0.00000619,6.71008860
USDCUSDT,1724572800000,0.00008930,0.99894181
USTCUSDT,1724572800000,0.00005000,0.01852007
VANRYUSDT,1724572800000,0.00005000,0.10528000
VETUSDT,1724572800000,0.00010000,0.02499146
VIDTUSDT,1724572800000,0.00005000,0.04132622
VOXELUSDT,1724572800000,0.00005000,0.20486390
WAVESUSDT,1724572800000,0.00010000,1.13809694
WAXPUSDT,1724572800000,-0.00000765,0.03519685
WIFUSDC,1724572800000,0.00005000,1.87204669
WIFUSDT,1724572800000,0.00005000,1.87100000
WLDUSDC,1724572800000,0.00010000,1.79934943
WLDUSDT,1724572800000,0.00010000,1.79822503
WOOUSDT,1724572800000,0.00010000,0.17400000
WUSDT,1724572800000,0.00005000,0.25040000
XAIUSDT,1724572800000,0.00005000,0.23498923
XEMUSDT,1724572800000,0.00010000,0.02024250
XLMUSDT,1724572800000,-0.00003269,0.09992000
XMRUSDT,1724572800000,0.00010000,168.70416667
XRPUSDC,1724572800000,0.00001780,0.59922341
XRPUSDT,1724572800000,-0.00008614,0.59855177
XTZUSDT,1724572800000,0.00010000,0.72333678
XVGUSDT,1724572800000,0.00004640,0.00420491
XVSUSDT,1724572800000,-0.00001360,7.54193359
YFIUSDT,1724572800000,0.00010000,5357.48313951
YGGUSDT,1724572800000,0.00005000,0.46219882
ZECUSDT,1724572800000,0.00010000,41.12000000
ZENUSDT,1724572800000,0.00010000,8.63141667
ZETAUSDT,1724572800000,0.00005000,0.58225267
ZILUSDT,1724572800000,0.00010000,0.01513000
ZKUSDT,1724572800000,0.00005000,0.12418473
ZROUSDT,1724572800000,0.00005000,4.19096186
ZRXUSDT,1724572800000,0.00010000,0.34381958
